country,variable,value
Belgium,Health expenditures,10.5
Canada,Health expenditures,11.2
Denmark,Health expenditures,10.9
Finland,Health expenditures,9.1
France,Health expenditures,11.6
Germany,Health expenditures,11.3
Greece,Health expenditures,9.1
Iceland,Health expenditures,8.9
Ireland,Health expenditures,8.9
Italy,Health expenditures,9.2
Japan,Health expenditures,9.6
Luxembourg,Health expenditures,6.6
Netherlands,Health expenditures,11.9
New Zealand,Health expenditures,10.3
Norway,Health expenditures,9.4
Portugal,Health expenditures,10.2
Spain,Health expenditures,9.3
Sweden,Health expenditures,9.5
Switzerland,Health expenditures,11.3
Turkey,Health expenditures,6.1
United Kingdom,Health expenditures,9.4
United States,Health expenditures,17.7
Australia,Income inequality,33.4
Austria,Income inequality,26.7
Belgium,Income inequality,26.2
Canada,Income inequality,32
Denmark,Income inequality,25.2
Finland,Income inequality,26
France,Income inequality,30.3
Germany,Income inequality,28.6
Greece,Income inequality,33.7
Iceland,Income inequality,24.4
Ireland,Income inequality,33.1
Italy,Income inequality,31.9
Japan,Income inequality,33.6
Luxembourg,Income inequality,27
Netherlands,Income inequality,28.8
New Zealand,Income inequality,31.7
Norway,Income inequality,24.9
Portugal,Income inequality,34.4
Spain,Income inequality,33.8
Sweden,Income inequality,26.9
Switzerland,Income inequality,29.8
Turkey,Income inequality,41.1
United Kingdom,Income inequality,34.1
United States,Income inequality,38
Australia,Infant mortality,3.8
Austria,Infant mortality,3.6
Belgium,Infant mortality,3.3
Canada,Infant mortality,4.9
Denmark,Infant mortality,3.6
Finland,Infant mortality,2.4
France,Infant mortality,3.5
Germany,Infant mortality,3.6
Greece,Infant mortality,3.4
Iceland,Infant mortality,0.9
Ireland,Infant mortality,3.5
Italy,Infant mortality,3.4
Japan,Infant mortality,2.3
Luxembourg,Infant mortality,4.3
Netherlands,Infant mortality,3.6
New Zealand,Infant mortality,5.5
Norway,Infant mortality,2.8
Portugal,Infant mortality,3.1
Spain,Infant mortality,3.2
Sweden,Infant mortality,2.1
Switzerland,Infant mortality,3.8
Turkey,Infant mortality,7.7
United Kingdom,Infant mortality,4.3
United States,Infant mortality,6.1
Australia,Poverty rate,14.5
Austria,Poverty rate,8.1
Belgium,Poverty rate,9.7
Canada,Poverty rate,11.9
Denmark,Poverty rate,6
Finland,Poverty rate,7.3
France,Poverty rate,7.9
Germany,Poverty rate,8.8
Greece,Poverty rate,14.3
Iceland,Poverty rate,6.4
Ireland,Poverty rate,9
Italy,Poverty rate,13
Japan,Poverty rate,16
Luxembourg,Poverty rate,7.2
Netherlands,Poverty rate,7.5
New Zealand,Poverty rate,10.3
Norway,Poverty rate,7.5
Portugal,Poverty rate,11.4
Spain,Poverty rate,15.4
Sweden,Poverty rate,9.1
Switzerland,Poverty rate,9.5
Turkey,Poverty rate,19.3
United Kingdom,Poverty rate,9.9
United States,Poverty rate,17.4
Australia,Public social spending,19.518
Austria,Public social spending,28.293
Belgium,Public social spending,30.728
Canada,Public social spending,18.155
Denmark,Public social spending,30.786
Finland,Public social spending,30.534
France,Public social spending,33.021
Germany,Public social spending,26.183
Greece,Public social spending,21.995
Iceland,Public social spending,17.219
Ireland,Public social spending,21.592
Italy,Public social spending,28.44
Japan,Public social spending,22.296
Luxembourg,Public social spending,23.379
Netherlands,Public social spending,24.299
New Zealand,Public social spending,22.371
Norway,Public social spending,22.88
Portugal,Public social spending,26.383
Spain,Public social spending,27.428
Sweden,Public social spending,28.643
Switzerland,Public social spending,19.097
Turkey,Public social spending,12.8
United Kingdom,Public social spending,23.773
United States,Public social spending,20.033
Australia,Tax revenue,26.507
Austria,Tax revenue,43.175
Belgium,Tax revenue,45.283
Canada,Tax revenue,30.738
Denmark,Tax revenue,47.957
Finland,Tax revenue,44.083
France,Tax revenue,45.285
Germany,Tax revenue,37.593
Greece,Tax revenue,33.755
Iceland,Tax revenue,37.188
Ireland,Tax revenue,28.283
Italy,Tax revenue,44.42
Japan,Tax revenue,28.627
Luxembourg,Tax revenue,37.756
Netherlands,Tax revenue,38.56
New Zealand,Tax revenue,32.879
Norway,Tax revenue,42.207
Portugal,Tax revenue,32.484
Spain,Tax revenue,32.866
Sweden,Tax revenue,44.305
Switzerland,Tax revenue,28.173
Turkey,Tax revenue,27.659
United Kingdom,Tax revenue,35.245
United States,Tax revenue,24.347
