OBJECTID,CNSTRNT_TYPE_CD,TRVL_DRCT_CD,RTE_NM,CNSTRNT_DELAY_FLAG,CNSTRNT_DETOUR_FLAG,RDWAY_NM,CNSTRNT_METRO_FLAG,LMT_FROM_DSCR,LMT_TO_DSCR,COND_DSCR,FROM_RMKR_NBR,FROM_DISP_MS,TO_RMKR_NBR,TO_DISP_MS,CREATE_TS,ROW_UPDT_STAT_FLAG,TXDOT_COUNTY_NBR,HCRS_CNTYWIDE_FLAG,COND_START_TS,COND_END_TS,Latitude,Longitude
1,F,E,IH0030,N,N,,N,4.785 Miles East of IH0635 on IH0030,,Motorists should expect delays. High Water at IH 30 eastbound at the entrance ramp to SH 190. ,62,-0.271,62,-0.271,5/8/2014 10:31,1,57,,5/8/2014 10:28,5/8/2014 13:00,32.8556483,-96.55707543
26,F,EW,FM1093,Y,N,,N,1.795 Miles East of FM0723 on FM1093,,Water over roadway. FM 1093 E&W Bound closed at SH 99 Due to flooding conditions water is over roadway. ,660,0.571,660,0.571,5/26/2014 18:12,1,80,,5/26/2014 17:52,5/26/2014 21:00,29.69982642,-95.78333707
27,F,NS,FM1848,N,N,,N,1.834 Miles North of US0079 on FM1848,,Water over roadway. There is water over the roadway on FM1848 just south of the Freestone County Line.   Do not drive through water over the road.   Seek an alternate route.   ,352,0.304,352,0.304,5/26/2014 19:35,1,145,,5/26/2014 19:28,5/27/2014 12:00,31.49110024,-96.05699524
28,F,EW,FM1093,N,N,,N,0.9  Miles East of SH0099,,"Water over roadway. Water on Roadway, Crews are cleaning mudd off Roadway.  Will open shortly. ",660,-0.154,660,-0.154,5/26/2014 21:12,1,80,,5/26/2014 21:08,5/26/2014 23:00,29.6988411,-95.79535612
29,F,NS,FM1692,Y,Y,,N,1.754 Miles South of FM1929 on FM1692,,"Dirt and debris over roadway; travel with caution. Water over roadway. Travel discouraged. Concho River on the rise, please use alternate route",368,0.766,368,0.766,5/27/2014 10:41,1,226,,5/27/2014 10:38,5/28/2014 7:00,31.54042872,-100.178009
30,F,N,FM0362,N,N,,N,1.9  Miles North of US0290,,Water over roadway. Water over roadway--passable but travel with caution,444,0.706,444,0.706,5/27/2014 14:52,1,237,,5/27/2014 14:47,5/27/2014 17:00,30.07736193,-95.93431151
31,F,EW,FM1488,N,N,,N,1.1  Miles East of FM1098,,Water over roadway. roadway is passable-proceed with caution,642,0.707,642,0.707,5/27/2014 15:38,1,237,,5/27/2014 15:36,5/27/2014 18:00,30.13165189,-95.97792685
32,F,NS,FM0362,N,N,,N,2.338 Miles South of FM1488 on FM0362,,Water over roadway. roadway is passable,442,0.066,442,0.066,5/27/2014 15:48,1,237,,5/27/2014 15:46,5/27/2014 19:00,30.11273183,-95.94724356
33,F,S,FM0362,N,N,,N,4.04 Miles North of FM0529 on FM0362,,Water over roadway. water near white stripe--roadway is passable,452,0.6,452,0.6,5/27/2014 16:07,1,237,,5/27/2014 16:00,5/27/2014 19:00,29.96968404,-95.95107296
34,F,NS,FM1848,N,N,,N,1.834 Miles North of US0079 on FM1848,,Water over roadway. There is water over the roadway on FM1848 just south of the Freestone County Line.   Do not drive through water over the road.   Seek an alternate route.   ,352,0.304,352,0.304,5/28/2014 8:20,1,145,,5/28/2014 8:18,5/28/2014 12:00,31.49110024,-96.05699524
35,F,EW,FM0145,N,N,,N,1504.8 Feet East of FM2301 on FM0145,,Water over roadway. ,314,0.74,314,0.74,6/8/2014 1:02,1,219,,6/8/2014 0:59,6/8/2014 12:00,34.37555101,-101.5702482
36,F,NS,US0385,N,N,,N,453.3  Miles West of US0090,,Low water crossings are flooding. Dirt and debris over roadway; travel with caution. Water over roadway. LOW WATER CROSSINGS ARE FLOODED. ,500,-470,500,-470,6/16/2014 21:06,1,186,,6/16/2014 21:00,6/17/2014 16:00,36.29136564,-102.5372872
37,F,NS,US0385,N,N,,N,453.3  Miles West of US0090,,Low water crossings are flooding. Dirt and debris over roadway; travel with caution. Water over roadway. LOW WATER CROSSINGS ARE FLOODED. ,500,-470,500,-470,6/16/2014 21:10,1,186,,6/16/2014 21:00,6/17/2014 4:30,36.29136564,-102.5372872
38,Z,EW,US0277,Y,Y,,N,0.9  Miles South of FM1591,,"The roadway is closed due to high water. US 277 N.  CLOSED BY QUEMADO, TX DUE TO WATER OVER THE ROAD ON FM 1908 ƒ?? EXPECT DETOURS & LONG TRAVEL DELAYS ƒ?? PLEASE SEEK ALTERNATE ROUTES ",586,0.434,586,0.434,6/19/2014 22:26,1,159,,6/19/2014 22:22,6/20/2014 14:00,28.93306058,-100.619179
39,Z,NS,US0277,Y,Y,,N,306.24 Feet North of FM1591 on US0277,,The roadway is closed due to high water. ,584,0.42,584,0.42,6/20/2014 17:07,0,159,,6/20/2014 17:05,6/27/2014 23:45,28.96129871,-100.6280045
40,F,E,US0077,N,N,,N,17.802 Miles North of BU0077W on US0077,,Follow the marked detourtest condition SMM,742,0.242,742,0.242,6/26/2014 19:39,0,66,,6/26/2014 19:38,6/26/2014 20:00,26.78534717,-97.77457702
41,F,E,US0077,N,N,,N,17.802 Miles North of BU0077W on US0077,,Follow the marked detourtest condition SMM 22,742,0.242,742,0.242,6/26/2014 19:40,1,66,,6/26/2014 19:39,6/26/2014 20:15,26.78534717,-97.77457702
42,F,E,US0077,N,N,,N,17.802 Miles North of BU0077W on US0077,,Follow the marked detourtest condition,742,0.242,742,0.242,6/26/2014 19:38,0,66,,6/26/2014 19:37,6/26/2014 19:45,26.78534717,-97.77457702
43,F,EW,US0060,N,N,,N,1.6  Miles South of SH0086,,Water over roadway. ,236,0.2,236,0.2,7/2/2014 7:51,1,185,,7/2/2014 7:48,7/2/2014 12:00,34.49248545,-102.9155015
44,F,E,PR0046,N,N,,N,2201.76 Feet North of FM2098 on PR0046,,Low water crossings are flooding. **TEST**,702,-0.174,702,-0.174,7/8/2014 20:29,0,253,,7/9/2014 19:15,7/10/2014 19:15,26.58874983,-99.1508461
45,F,EW,FM1442,N,N,,N,31.68 Feet West of SH0073 on FM1442,,"Water over roadway. Intersection is flooded. 
Use caution. 
",448,1.378,448,1.378,7/18/2014 8:54,1,181,,7/18/2014 8:52,7/18/2014 12:00,30.0323365,-93.8344683
46,F,S,FM0366,Y,N,,N,0.1  Miles West of SH0347,,Water over roadway. Travel discouraged. Use alternate route,448,-0.06,448,-0.06,7/18/2014 9:17,1,124,,7/18/2014 9:09,7/18/2014 11:00,29.98562797,-94.00120775
47,F,NS,SH0062,N,N,,N,0.989 Miles North of FM0105 on SH0062,,Water over roadway. Slow down & use caution,446,-0.556,446,-0.556,7/18/2014 8:50,1,181,,7/18/2014 8:45,7/18/2014 12:00,30.09347036,-93.8204335
48,F,EW,FM1447,N,N,,N,4.767 Miles West of FM0682 on FM1447,,Use alternate route,574,0.89,574,0.89,7/31/2014 9:36,1,62,,7/31/2014 9:34,7/31/2014 10:30,29.14911714,-97.15459746
49,F,NS,FM0503,Y,N,,N,1  Miles South of SH0153,,Low water crossings are flooding. Water over roadway. Water over roadway in several locations from SH0153 south to US 67 in Valera,332,1,332,1,8/18/2014 10:34,1,42,,8/18/2014 10:26,8/18/2014 14:00,31.81203607,-99.54261095
50,F,NS,US0385,Y,N,,N,11  Miles South of SS0194,,Low water crossings are flooding. LOW WATER CROSSING ARE FLOODING WATER OVER ROADWAY TRAVEL DISCOURAGED. ,458,10,458,10,9/11/2014 21:08,1,186,,9/11/2014 21:00,9/11/2014 23:30,30.73504646,-102.9186248
51,F,W,SH0158,N,N,,N,1.4  Miles West of US0277,,Water over roadway. ,404,0.1,404,0.1,9/19/2014 14:15,0,41,,9/19/2014 14:15,9/21/2014 23:45,31.89184856,-100.3262522
52,F,NS,FM1205,N,N,,N,137.28 Feet South of FM0846 on FM1205,,Low water crossings are flooding. Water over roadway. Use alternate routeIntersection of FM 1205 & FM 846 is flooded.   Do not attempt to travel through water use alternate route.   (rl 9/20/14 8:30am),296,0.951,296,0.951,9/20/2014 8:26,0,115,,9/20/2014 8:21,9/20/2014 23:45,32.48129277,-101.2263014
53,F,EW,BI0020E,N,N,,N,0.5  Miles West of MIDLAND,,Water over roadway. Travel discouraged. BI20 North Service Road @ Midland Dr.  is flooded.   Use extreme caution is traveling through high water. ,317,0.263,317,0.263,9/21/2014 17:26,1,165,,9/21/2014 17:21,9/22/2014 13:00,31.9687652,-102.1269232
54,F,EW,SH0302,Y,Y,,N,73.92 Feet East of FM1232 on SH0302,,Water over roadway. Sh-302 has flooding over roadway from Mentone Tx (FM-1933) to US-285,216,0.37,216,0.37,9/24/2014 9:55,1,248,,9/24/2014 9:49,9/24/2014 19:00,31.81593692,-103.2031111
55,F,EW,SH0302,N,N,,N,0 Feet North of US0285 on SH0302,,Low water crossings are flooding. Water over roadway. Use alternate routeroad closed due to flooding,184,-0.041,184,-0.041,9/24/2014 12:43,1,248,,9/24/2014 12:36,9/25/2014 19:00,31.63897865,-103.6439748
56,Z,EW,FM0083,Y,Y,,N,1742.4 Feet West of FM0001 on FM0083,,The roadway is closed due to flooding. The roadway is closed due to high water. Motorists should expect delays. ,758,0.952,758,0.952,1/3/2015 8:10,1,202,,1/3/2015 8:03,1/3/2015 16:00,31.25039565,-93.97890523
57,F,NS,FM0001,Y,N,,N,834.24 Feet North of FM0083 on FM0001,,Water over roadway. Motorists should expect delays. ,476,-0.573,476,-0.573,1/3/2015 8:44,1,202,,1/3/2015 8:42,1/3/2015 11:00,31.25298672,-93.9730382
58,F,EW,FM0083,Y,N,,N,0.573 Miles West of FM3382 on FM0083,,Water over roadway. Motorists should expect delays. ,776,0.872,776,0.872,1/3/2015 8:50,1,202,,1/3/2015 8:45,1/3/2015 11:00,31.37132055,-93.73811831
59,F,EW,FM2989,N,Y,,N,2.352 Miles West of FM0247 on FM2989,,Water over roadway. Use alternate routeWater of FM 2989 at Bedias Creek.    Road is closed until water receeds. ,658,-0.324,658,-0.324,1/3/2015 12:29,1,236,,1/3/2015 12:26,1/5/2015 12:00,30.8706204,-95.70691711
60,F,E,FM3090,N,Y,,N,1.282 Miles South of FM0149 on FM3090,,Water over roadway. road is close do water over both lanes of the roadway. ,428,-0.806,428,-0.806,1/22/2015 16:12,1,94,,1/22/2015 16:04,1/23/2015 12:00,30.46858772,-96.05538725
61,Z,EW,FM2989,N,N,,N,2.373 Miles West of FM0247 on FM2989,,The roadway is closed due to flooding. The roadway is closed due to high water. FM 2989 is closed at Bedias Creek due to flooding. ,658,-0.345,658,-0.345,1/23/2015 9:48,1,236,,1/23/2015 9:46,1/26/2015 12:00,30.8706205,-95.70657931
62,Z,NS,FM2556,N,Y,,N,1.7  Miles North of BU0083S,,"The roadway is closed due to construction. Sir, FM 2556 from BU 83 to US 281 /  RM 728 to 732 will be closed Friday,2/27/2015 thru Friday, 3/13/2015 due to work being conducted by Delta Lake Irrigation District a large water leak was found on both sides of road and on our FM road.  Road closure will be in effect until the work is complete on 2/27/2015 if not sooner.   All thru traffic will need use alternate route which is FM 506 from BU 83 to US 281 / RM 730 to 732.  Road Advisory will be done along with a notification to local schools, cities and  Fire and EMS Transportation.  ",730,-0.5,730,-0.5,2/27/2015 13:01,1,31,,2/27/2015 12:52,3/13/2015 17:00,26.127976,-97.85495936
63,F,NS,FM0450,N,N,,N,2.116 Miles North of FM0449 on FM0450,,Water over roadway. Water over the roadway at Little Cypress Bayou. ,276,-0.523,276,-0.523,3/4/2015 14:29,1,103,,3/4/2015 14:06,3/5/2015 0:15,32.62959006,-94.57763961
64,F,NS,FM0450,N,N,,N,2.116 Miles North of FM0449 on FM0450,,Water over roadway. Water over the roadway at Little Cypress Bayou. ,276,-0.523,276,-0.523,3/4/2015 14:29,1,103,,3/4/2015 14:06,3/5/2015 0:15,32.62959006,-94.57763961
65,Z,S,FM2556,N,Y,,N,3.9  Miles South of BU0083S,,"The roadway is closed due to construction. Sir, FM 2556 from BU 83 to US 281 /  RM 728 to 732 will be closed Monday, 3/09/2015 thru Tuesday, 3/31/2015 due to work being conducted by Delta Lake Irrigation District a large water leak was found on both sides of road and on our FM road.  Road closure will be in effect until the work is complete. .   All thru traffic will need use alternate route which is FM 506 from BU 83 to US 281 / RM 730 to 732.  Road Advisory will be done along with a notification to local schools, cities and  Fire and EMS Transportation.  ",730,1.7,730,1.7,3/9/2015 14:52,1,31,,3/9/2015 14:41,3/31/2015 17:00,26.09725127,-97.84990247
66,F,NS,FM1565,N,N,,N,0.916 Miles South of SH0276 on FM1565,,Water over roadway. Use alternate routeWater over road and rising,258,-0.864,258,-0.864,3/10/2015 7:52,0,117,,3/10/2015 7:49,3/10/2015 15:30,32.90380694,-96.25194859
67,F,NS,FM0036,N,N,,N,1.917 Miles South of FM1564 on FM0036,,Use alternate routeroad closed due to high water. ,254,0.812,254,0.812,3/10/2015 10:28,1,117,,3/10/2015 10:20,3/10/2015 15:30,32.97744568,-96.17503926
68,F,S,FM0149,Y,N,,N,3.929 Miles North of FM1488 on FM0149,,Water over roadway. Area of flooding  FM 149 at lake creek bridge.  Road not closed  water over roadway between Jackson rd and Mitchell rd,464,0.241,464,0.241,3/10/2015 22:05,1,170,,3/10/2015 21:42,3/11/2015 4:00,30.28033665,-95.70538234
69,F,NS,SH0037,Y,N,,N,1.111 Miles South of FM0909 on SH0037,,Water over roadway. ,220,0.491,220,0.491,3/20/2015 6:52,0,194,,3/20/2015 6:50,3/20/2015 9:30,33.45202631,-95.22378884
70,F,NS,FM0911,N,N,,N,0.963 Miles North of US0082 on FM0911,,Water over roadway. ,206,0.115,206,0.115,3/20/2015 6:54,0,194,,3/20/2015 6:53,3/20/2015 9:30,33.56797315,-94.78728839
71,F,EW,FM1701,N,N,,N,1964.16 Feet East of FM0911 on FM1701,,Water over roadway. ,704,-0.805,704,-0.805,3/20/2015 6:56,0,194,,3/20/2015 6:54,3/20/2015 9:30,33.53177599,-94.77551192
72,F,NS,FM0410,N,N,,N,2349.6 Feet North of FS0410 on FM0410,,Water over roadway. ,234,0.422,234,0.422,3/20/2015 6:58,1,194,,3/20/2015 6:56,3/20/2015 9:30,33.46114105,-95.26721064
73,F,NS,FM0410,N,N,,N,2360.16 Feet West of FS0410 on FM0410,,Water over roadway. ,236,-0.682,236,-0.682,3/20/2015 6:59,1,194,,3/20/2015 6:58,3/20/2015 9:30,33.45447994,-95.27484758
74,F,NS,FM2655,N,N,,N,0.87 Miles West of SH0011 on FM2655,,Low water crossings are flooding. ,632,0.949,632,0.949,3/20/2015 14:57,1,117,,3/20/2015 14:55,3/20/2015 22:00,33.31008532,-95.9735293
75,F,NS,US0385,N,N,,N,12.9  Miles South of SS0194,,Water over roadway. TXDOT AT FLOOD AREAS SLOW DOWN AND PROCEED WITH CAUTION. ,470,0,470,0,3/21/2015 20:32,1,186,,3/21/2015 20:30,3/22/2015 2:00,30.70851654,-102.9265091
76,F,EW,FM2989,N,Y,,N,1.3  Miles East of FM0247,,Water over roadway. Travel discouraged. Roadway is flooded at South Bedias Creek,658,-0.751,658,-0.751,3/24/2015 9:05,1,236,,3/24/2015 9:03,3/25/2015 9:00,30.87061205,-95.71343276
77,F,NS,FM1791,N,N,,N,3.263 Miles East of FM3179 on FM1791,,Water over roadway. Use alternate routeFM 1791 closed at San Jacinto River due to water over roadway.   Flooding in area. ,410,-0.198,410,-0.198,4/17/2015 8:31,1,236,,4/17/2015 8:28,4/20/2015 9:00,30.64647491,-95.6746078
78,Z,NS,FM1322,N,N,,N,3.6  Miles East of US0183,,The roadway is closed due to high water. ,482,0.87,482,0.87,4/24/2015 14:41,0,28,,4/24/2015 14:39,4/24/2015 18:00,29.67617666,-97.61734135
79,Z,NS,FM3158,N,N,,N,1879.68 Feet East of FM0086 on FM3158,,The roadway is closed due to high water. ,474,0.205,474,0.205,4/25/2015 6:31,1,28,,4/25/2015 6:30,4/25/2015 14:00,29.80727211,-97.55750931
80,F,N,US0087,Y,Y,,N,876.48 Feet West of FM0828 on US0087,,"Water over roadway. US 87 northbound traffic will detour west on FM 828 to Sparenberg, then north on FM 26 to US 87.  ",346,-0.241,346,-0.241,5/6/2015 8:13,0,58,,5/6/2015 8:12,5/13/2015 8:00,32.59695624,-101.7896809
81,F,NS,FM0178,Y,Y,,N,5.108 Miles South of US0180 on FM0178,,"Water over roadway. FM 178 South of Midway at the S curve is closed due to high water, use alternate route. ",290,-0.041,290,-0.041,5/6/2015 8:15,0,58,,5/6/2015 8:13,5/13/2015 8:00,32.65673096,-101.7768894
82,F,EW,US0080,N,N,,N,681.12 Feet West of FM0968 on US0080,,Water over roadway. Travel discouraged. Motorists should expect delays. ,802,-0.92,802,-0.92,5/8/2015 8:21,1,103,,5/8/2015 8:15,5/8/2015 11:00,32.52591425,-94.44287892
83,F,NS,US0059,N,N,,N,300.96 Feet North of US0080 on US0059,,Water over roadway. Travel discouraged. Motorists should expect delays. ,284,-0.502,284,-0.502,5/8/2015 8:31,1,103,,5/8/2015 8:29,5/8/2015 11:00,32.54921298,-94.35009211
84,F,EW,US0080,N,N,,N,633.6 Feet West of FM2199 on US0080,,Water over roadway. Travel discouraged. Motorists should expect delays. ,814,-0.29,814,-0.29,5/8/2015 8:37,1,103,,5/8/2015 8:35,5/8/2015 11:00,32.51719345,-94.24033982
85,F,EW,FM3379,N,N,,N,723.36 Feet East of US0080 on FM3379,,Water over roadway. Travel discouraged. Motorists should expect delays. ,724,0.063,724,0.063,5/8/2015 8:53,1,103,,5/8/2015 8:51,5/8/2015 11:00,32.53160032,-94.42974267
86,F,EW,US0082,N,N,,N,4.3  Miles West of FM2148,,Water over roadway. Travel discouraged. ,792,4.2,792,4.2,5/11/2015 3:00,0,19,,5/11/2015 2:58,5/11/2015 7:30,33.44348108,-94.10187009
87,F,NS,FM0989,N,N,,N,2.4  Miles North of US0067,,Water over roadway. Travel discouraged. ,214,1.5,214,1.5,5/11/2015 3:01,0,19,,5/11/2015 3:00,5/11/2015 7:30,33.40712943,-94.11816193
88,F,W,IH0030,N,N,,N,1.6  Miles East of SH0093,,Water over roadway. Travel discouraged. Water on IH 30 west bound entrance ramp. ,223,0.5,223,0.5,5/11/2015 5:31,0,19,,5/11/2015 5:30,5/11/2015 8:15,33.47024135,-94.0451394
89,F,NS,FM1398,N,N,,N,0.4  Miles South of IH0030,,Water over roadway. Travel discouraged. ,212,-1,212,-1,5/11/2015 5:34,0,19,,5/11/2015 5:33,5/11/2015 8:30,33.48041455,-94.25899165
90,F,NS,FM1398,N,N,,N,3.1  Miles North of IH0030,,Water over roadway. Travel discouraged. ,218,1,218,1,5/11/2015 5:35,0,19,,5/11/2015 5:34,5/11/2015 8:30,33.4811664,-94.22097731
91,F,NS,FM2878,N,N,,N,1.6  Miles South of FM0989,,Water over roadway. Travel discouraged. ,210,1.5,210,1.5,5/11/2015 5:54,0,19,,5/11/2015 5:53,5/11/2015 10:00,33.46424557,-94.1180363
92,F,NS,FM0989,N,N,,N,2.4  Miles North of US0067,,Water over roadway. Travel discouraged. ,214,1.5,214,1.5,5/11/2015 5:55,0,19,,5/11/2015 5:53,5/11/2015 9:30,33.40712943,-94.11816193
93,F,NS,FM1398,N,N,,N,0.4  Miles South of IH0030,,Water over roadway. Travel discouraged. ,218,-1,218,-1,5/11/2015 5:56,0,19,,5/11/2015 5:53,5/11/2015 10:00,33.48041455,-94.25899165
94,F,NS,US0059,Y,N,,N,1156.32 Feet North of FM0031 on US0059,,Water over roadway. Travel discouraged. Motorists should expect delays. ,284,-0.204,284,-0.204,5/11/2015 6:07,0,103,,5/11/2015 6:01,5/11/2015 10:00,32.54488414,-94.3501627
95,F,EW,US0080,Y,N,,N,290.4 Feet East of SL0390 on US0080,,Water over roadway. Travel discouraged. Motorists should expect delays. ,804,0.357,804,0.357,5/11/2015 6:09,0,103,,5/11/2015 6:07,5/11/2015 10:00,32.54876341,-94.39428108
96,F,EW,SH0154,N,N,,N,6.067 Miles South of FM2208 on SH0154,,Water over roadway. Travel discouraged. Motorists should expect delays. ,760,-0.678,760,-0.678,5/11/2015 6:18,0,103,,5/11/2015 6:15,5/11/2015 10:00,32.60545052,-94.48740122
97,F,EW,FM0449,N,N,,N,4.644 Miles East of FM0450 on FM0449,,Water over roadway. Travel discouraged. Motorists should expect delays. ,722,-0.243,722,-0.243,5/11/2015 6:26,0,103,,5/11/2015 6:21,5/11/2015 10:00,32.58118191,-94.51123127
98,F,EW,US0080,N,N,,N,1.4 Miles East of FM0450 on US0080,,Water over roadway. Travel discouraged. Motorists should expect delays. ,794,0.686,794,0.686,5/11/2015 6:28,0,103,,5/11/2015 6:26,5/11/2015 10:00,32.50726976,-94.5504242
99,F,NS,FM1624,Y,N,,N,7.526 Miles West of SH0021 on FM1624,,Low water crossings are flooding. Water over roadway. Middle Yegua Creek ,438,-0.951,438,-0.951,5/12/2015 7:10,1,144,,5/12/2015 7:05,5/12/2015 23:00,30.40873028,-97.00884247
100,Z,NS,IH0035,N,N,,N,3.163 Miles North of FM1202 on IH0035,,Exit ramp closed. MAIN LANES not affected. Water over roadway. Red River frontage road closed: underpass closed due to flooding. ,504,-0.232,504,-0.232,5/14/2015 15:16,0,49,,5/14/2015 15:15,5/20/2015 17:00,33.72589422,-97.16074255
101,F,EW,US0062,N,N,,N,0.984 Miles East of FM2576 on US0062,,Water over roadway. Travel with caution,358,0.192,358,0.192,5/15/2015 2:27,1,54,,5/15/2015 2:24,5/15/2015 16:00,33.67205412,-101.4169331
102,F,EW,US0082,N,N,,N,1.36 Miles West of FM0651 on US0082,,Water over roadway. Travel with caution. ,346,-0.553,346,-0.553,5/15/2015 2:29,1,54,,5/15/2015 2:27,5/15/2015 16:00,33.6600819,-101.2616642
103,F,NS,FM3385,N,N,,N,1.626 Miles North of FM0261 on FM3385,,Water over roadway. Travel with caution. ,226,-0.081,226,-0.081,5/15/2015 2:37,1,54,,5/15/2015 2:30,5/15/2015 16:00,33.43306497,-101.0974479
104,F,NS,FM1624,N,N,,N,5.195 Miles West of SL0123 on FM1624,,Water over roadway. water over roadway,434,-0.802,434,-0.802,5/15/2015 6:54,0,144,,5/15/2015 6:52,5/16/2015 8:00,30.37020994,-97.07660042
