FIPS,LWX_TYPE,OWNER,DET_LENGTH,OT_TYPE,COMMENTS,Add_source,COUNTY,ROAD,FLOWSOURCE,SOURCE,LAT,LONG,GRADE,LOCATION_1,SIGNAGE,OWNER_ID,Latitude,Longitude,ID
319,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,MASON,UNNAMED ST,KEYSER CREEK,VGI,30.70135117,-98.96775975,UNKNOWN,0.4 MI W OF RR 152,NV,NA,30.70135117,-98.96775975,A00017
165,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,GAINES,UNNAMED ST,WARDSWELL DRAW,VGI,32.73354818,-102.6770354,UNKNOWN,0.35 MI W OF AMANDA HESS,NV,NA,32.73354818,-102.6770354,A00018
243,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,JEFF DAVIS,KC RANCH RD,CHERRY CREEK,VGI,30.9355094,-104.0240946,UNKNOWN,0.25 MI N OF O3 RANCH RD,NV,NA,30.9355094,-104.0240946,A00019
389,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,REEVES,CR 315,TOYAH CREEK,VGI,31.01263548,-103.7090819,UNKNOWN,.6 MI N OF IH10,NV,NA,31.01263548,-103.7090819,A00020
389,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,REEVES,CR 310,TOYAH CREEK,VGI,31.03405292,-103.6365012,UNKNOWN,BETWEEN CR 309 AND SH 17,NV,NA,31.03405292,-103.6365012,A00021
371,UNVENTED FORD,TXDOT,0,RIVERINE,NA,NA,PECOS,HARRAL RD,HARRAL DRAW,VGI,30.6268117,-102.1931189,GRADE,JUST W OF FM 2886,NONE,NA,30.6268117,-102.1931189,A00022
371,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,PECOS,HARRAL RD,HARRAL DRAW,VGI,30.649261,-102.25625,GRADE,4.4 MI W OF FM 2886,NONE,NA,30.649261,-102.25625,A00023
371,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,PECOS,HARRAL RD,HARRAL DRAW,VGI,30.686599,-102.310418,GRADE,9.05 MI W OF FM 2886,NONE,NA,30.686599,-102.310418,A00024
371,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,PECOS,HARRAL RD,"HARRAL DRAW, TRIB",VGI,30.689767,-102.355628,GRADE,12.02 MI W OF FM 2886,NONE,NA,30.689767,-102.355628,A00025
371,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,PECOS,HARRAL RD,"HARRAL DRAW, TRIB",VGI,30.69175411,-102.3525766,GRADE,11.85 MI W OF FM 2886,NONE,NA,30.69175411,-102.3525766,A00026
371,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,PECOS,HARRAL RD,"HARRAL DRAW, TRIB",VGI,30.68965556,-102.357284,GRADE,12.08 MI W OF FM 2886,NONE,NA,30.68965556,-102.357284,A00027
371,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,PECOS,HARRAL RD,"HARRAL DRAW, TRIB",VGI,30.690714,-102.354319,GRADE,11.97 MI W OF FM 2886,NONE,NA,30.690714,-102.354319,A00028
371,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,PECOS,HARRAL RD,"INDEPENDENCE CREEK, TRIB",VGI,30.69455123,-102.3653017,GRADE,13.08 MI W OF FM 2886,NONE,NA,30.69455123,-102.3653017,A00029
371,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,PECOS,HARRAL RD,INDEPENDENCE CREEK,VGI,30.698225,-102.366158,GRADE,13.2 MI W OF FM 2886,NONE,NA,30.698225,-102.366158,A00030
105,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,CROCKETT,DEER CANYON RD,DEER CANYON DRAW,VGI,30.79850053,-101.7887669,GRADE,3.5 MI E OF SH 349,NONE,NA,30.79850053,-101.7887669,A00031
105,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,CROCKETT,DEER CANYON RD,KNUTE DRAW,VGI,30.82654993,-101.7231693,GRADE,1.43 MI W OF LIVE OAK,NONE,NA,30.82654993,-101.7231693,A00032
105,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,CROCKETT,DEER CANYON RD,DEER CANYON DRAW,VGI,30.79580247,-101.7957764,GRADE,3 MI E OF SH 349,NONE,NA,30.79580247,-101.7957764,A00033
105,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,CROCKETT,DEER CANYON RD,"DEER CANYON DRAW, TRIB",VGI,30.8140442,-101.7723155,GRADE,5 MI E OF SH 349,NONE,NA,30.8140442,-101.7723155,A00034
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN RD,DRY DEVILS RIVER,VGI,29.96999189,-100.7798488,UNKNOWN,0.85 MI W OF US 277,NV,NA,29.96999189,-100.7798488,A00035
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN RD,DRY DEVILS RIVER TRIB,VGI,29.98868,-100.804326,UNKNOWN,2.8 MI W OF US 277,NV,NA,29.98868,-100.804326,A00036
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN RD,DRY DEVILS RIVER TRIB,VGI,29.991473,-100.806285,UNKNOWN,3.1 MI W OF US 277,NV,NA,29.991473,-100.806285,A00037
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN RD,DRY DEVILS RIVER TRIB,VGI,29.99497672,-100.8084138,UNKNOWN,3.3 MI W OF US 277,NV,NA,29.99497672,-100.8084138,A00038
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN RD,DRY DEVILS RIVER TRIB,VGI,29.99870102,-100.8130588,UNKNOWN,3.6 MI W OF US 277,NV,NA,29.99870102,-100.8130588,A00039
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN RD,DRY DEVILS RIVER TRIB,VGI,29.99999862,-100.8155673,UNKNOWN,3.9 MI W OF US 277,NV,NA,29.99999862,-100.8155673,A00040
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN RD,DRY DEVILS RIVER TRIB,VGI,30.00093909,-100.8197456,UNKNOWN,4.1 MI W OF US 277,NV,NA,30.00093909,-100.8197456,A00041
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN RD,DRY DEVILS RIVER TRIB,VGI,30.0007377,-100.8217155,UNKNOWN,4.2 MI W OF US 277,NV,NA,30.0007377,-100.8217155,A00042
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK TRIB,VGI,30.00412184,-100.8493374,UNKNOWN,0.48 MI N OF DOLAN,NV,NA,30.00412184,-100.8493374,A00043
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK TRIB,VGI,30.009529,-100.851726,UNKNOWN,0.9 MI N OF DOLAN,NV,NA,30.009529,-100.851726,A00044
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK TRIB,VGI,30.01321989,-100.8530373,UNKNOWN,1.16 MI N OF DOLAN,NV,NA,30.01321989,-100.8530373,A00045
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK TRIB,VGI,30.01601196,-100.8536957,UNKNOWN,1.35 MI N OF DOLAN,NV,NA,30.01601196,-100.8536957,A00046
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK TRIB,VGI,30.01715257,-100.8541291,UNKNOWN,1.44 MI N OF DOLAN,NV,NA,30.01715257,-100.8541291,A00047
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK TRIB,VGI,30.01931624,-100.8549715,UNKNOWN,1.59 MI N OF DOLAN,NV,NA,30.01931624,-100.8549715,A00048
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK TRIB,VGI,30.02407846,-100.8568889,UNKNOWN,1.95 MI N OF DOLAN,NV,NA,30.02407846,-100.8568889,A00049
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK TRIB,VGI,30.02855162,-100.8569807,UNKNOWN,2.25 MI N OF DOLAN,NV,NA,30.02855162,-100.8569807,A00050
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK TRIB,VGI,30.03346277,-100.8572016,UNKNOWN,2.59 MI N OF DOLAN,NV,NA,30.03346277,-100.8572016,A00051
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK TRIB,VGI,30.03923355,-100.8634273,UNKNOWN,3.2 MI N OF DOLAN,NV,NA,30.03923355,-100.8634273,A00052
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,30.04771984,-100.871108,UNKNOWN,3.9 MI NW OF DOLAN,NV,NA,30.04771984,-100.871108,A00053
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,30.04826316,-100.8742218,UNKNOWN,4.16 MI NW OF DOLAN,NV,NA,30.04826316,-100.8742218,A00054
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,30.04784773,-100.8815138,UNKNOWN,4.6 MI NW OF DOLAN,NV,NA,30.04784773,-100.8815138,A00055
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,30.04675261,-100.8862435,UNKNOWN,4.9 MI NW OF DOLAN,NV,NA,30.04675261,-100.8862435,A00056
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,30.04109744,-100.896944,UNKNOWN,5.6 MI NW OF DOLAN,NV,NA,30.04109744,-100.896944,A00057
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,30.03973862,-100.898243,UNKNOWN,5.7 MI NW OF DOLAN,NV,NA,30.03973862,-100.898243,A00058
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,30.03853462,-100.8993875,UNKNOWN,5.9 MI NW OF DOLAN,NV,NA,30.03853462,-100.8993875,A00059
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,30.02994488,-100.9081448,UNKNOWN,6.7 MI NW OF DOLAN,NV,NA,30.02994488,-100.9081448,A00060
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,30.02682275,-100.9088833,UNKNOWN,6.9 MI NW OF DOLAN,NV,NA,30.02682275,-100.9088833,A00061
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,30.01635798,-100.9166124,UNKNOWN,7.8 MI NW OF DOLAN,NV,NA,30.01635798,-100.9166124,A00062
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK  MIDDLE,VGI,30.01578251,-100.9282217,UNKNOWN,8.5 MI NW OF DOLAN,NV,NA,30.01578251,-100.9282217,A00063
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK  MIDDLE,VGI,30.013372,-100.931708,UNKNOWN,8.8 MI NW OF DOLAN,NV,NA,30.013372,-100.931708,A00064
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,30.00231722,-100.9309468,UNKNOWN,9.6 MI NW OF DOLAN,NV,NA,30.00231722,-100.9309468,A00065
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.99811114,-100.9354971,UNKNOWN,9.9 MI NW OF DOLAN,NV,NA,29.99811114,-100.9354971,A00066
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.990388,-100.937484,UNKNOWN,10.5 MI NW OF DOLAN,NV,NA,29.990388,-100.937484,A00067
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.98349863,-100.9333049,UNKNOWN,11 MI NW OF DOLAN,NV,NA,29.98349863,-100.9333049,A00068
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.97485254,-100.9385565,UNKNOWN,11.7 MI W OF DOLAN,NV,NA,29.97485254,-100.9385565,A00069
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.97299118,-100.9461241,UNKNOWN,12.1 MI W OF DOLAN,NV,NA,29.97299118,-100.9461241,A00070
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.97407454,-100.9504004,UNKNOWN,12.4 MI W OF DOLAN,NV,NA,29.97407454,-100.9504004,A00071
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.97461225,-100.9564289,UNKNOWN,12.8 MI W OF DOLAN,NV,NA,29.97461225,-100.9564289,A00072
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.96735967,-100.9614493,UNKNOWN,13.3 MI SW OF DOLAN,NV,NA,29.96735967,-100.9614493,A00073
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.95494327,-100.9650639,UNKNOWN,14.3 MI SW OF DOLAN,NV,NA,29.95494327,-100.9650639,A00074
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.95264291,-100.967043,UNKNOWN,14.5 MI SW OF DOLAN,NV,NA,29.95264291,-100.967043,A00075
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.94821387,-100.9691267,UNKNOWN,14.8 MI SW OF DOLAN,NV,NA,29.94821387,-100.9691267,A00076
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.93569402,-100.9718304,UNKNOWN,15.8 MI SW OF DOLAN,NV,NA,29.93569402,-100.9718304,A00077
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.92661242,-100.9780468,UNKNOWN,16.5 MI SW OF DOLAN,NV,NA,29.92661242,-100.9780468,A00078
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.92646185,-100.9829674,UNKNOWN,16.7 MI SW OF DOLAN,NV,NA,29.92646185,-100.9829674,A00079
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.922138,-100.984018,UNKNOWN,17.1 MI SW OF DOLAN,NV,NA,29.922138,-100.984018,A00080
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.91574688,-100.9847356,UNKNOWN,17.6 MI SW OF DOLAN,NV,NA,29.91574688,-100.9847356,A00081
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.91183268,-100.9853753,UNKNOWN,17.8 MI SW OF DOLAN,NV,NA,29.91183268,-100.9853753,A00082
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.9111028,-100.9916454,UNKNOWN,18.2 MI SW OF DOLAN,NV,NA,29.9111028,-100.9916454,A00083
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.908774,-100.99258,UNKNOWN,18.4 MI SW OF DOLAN,NV,NA,29.908774,-100.99258,A00084
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.90157124,-100.9910617,UNKNOWN,19 MI SW OF DOLAN,NV,NA,29.90157124,-100.9910617,A00085
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DOLAN CREEK,VGI,29.90108282,-100.9915124,UNKNOWN,19.1 MI SW OF DOLAN,NV,NA,29.90108282,-100.9915124,A00086
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER TRIB,VGI,29.91950292,-100.8987093,UNKNOWN,10.1 MI W OF US 277,NV,NA,29.91950292,-100.8987093,A00087
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER TRIB,VGI,29.91785274,-100.8998606,UNKNOWN,9.8 MI W OF US 277,NV,NA,29.91785274,-100.8998606,A00088
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER TRIB,VGI,29.91205759,-100.8992994,UNKNOWN,9.5 MI W OF US 277,NV,NA,29.91205759,-100.8992994,A00089
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER TRIB,VGI,29.90387462,-100.8992899,UNKNOWN,8.8 MI W OF US 277,NV,NA,29.90387462,-100.8992899,A00090
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER TRIB,VGI,29.89969222,-100.8981022,UNKNOWN,8.6 MI W OF US 277,NV,NA,29.89969222,-100.8981022,A00091
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER,VGI,29.895639,-100.899239,UNKNOWN,0.7 MI S OF DOLAN CREEK SOUTH,NV,NA,29.895639,-100.899239,A00092
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER,VGI,29.88877218,-100.9028543,UNKNOWN,1.1 MI S OF DOLAN CREEK SOUTH,NV,NA,29.88877218,-100.9028543,A00093
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,DRY DEVILS RIVER,VGI,29.87630619,-100.8972245,UNKNOWN,1.9 MI S OF DOLAN CREEK SOUTH,NV,NA,29.87630619,-100.8972245,A00094
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,CEDAR DRAW,VGI,29.86091518,-100.8936425,UNKNOWN,5.5 MI W OF US 277,NV,NA,29.86091518,-100.8936425,A00095
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,CEDAR DRAW,VGI,29.85825321,-100.8874044,UNKNOWN,4.9 MI W OF US 277,NV,NA,29.85825321,-100.8874044,A00096
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,CEDAR DRAW,VGI,29.85843643,-100.8814986,UNKNOWN,4.4 MI W OF US 277,NV,NA,29.85843643,-100.8814986,A00097
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,CEDAR DRAW,VGI,29.86088602,-100.877307,UNKNOWN,1.7 MI E OF DOLAN CREEK,NV,NA,29.86088602,-100.877307,A00098
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,CEDAR DRAW,VGI,29.86163443,-100.8741199,UNKNOWN,1.9 MI E OF DOLAN CREEK,NV,NA,29.86163443,-100.8741199,A00099
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,CEDAR DRAW,VGI,29.86333336,-100.871562,UNKNOWN,2.1 MI E OF DOLAN CREEK,NV,NA,29.86333336,-100.871562,A00100
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,CEDAR DRAW,VGI,29.86385685,-100.8694895,UNKNOWN,2.2 MI E OF DOLAN CREEK,NV,NA,29.86385685,-100.8694895,A00101
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,CEDAR DRAW,VGI,29.86606974,-100.8641087,UNKNOWN,2.6 MI E OF DOLAN CREEK,NV,NA,29.86606974,-100.8641087,A00102
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,UNNAMED ST,CEDAR DRAW,VGI,29.86830042,-100.862968,UNKNOWN,3.2 MI E OF DOLAN CREEK,NV,NA,29.86830042,-100.862968,A00103
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER TRIB,VGI,29.92722832,-100.8942972,UNKNOWN,10.6 MI W OF US 277,NV,NA,29.92722832,-100.8942972,A00104
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER TRIB,VGI,29.93068889,-100.8910259,UNKNOWN,10.9 MI W OF US 277,NV,NA,29.93068889,-100.8910259,A00105
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER TRIB,VGI,29.93839743,-100.8828374,UNKNOWN,11.9 MI W OF US 277,NV,NA,29.93839743,-100.8828374,A00106
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER TRIB,VGI,29.93777747,-100.8804709,UNKNOWN,12 MI W OF US 277,NV,NA,29.93777747,-100.8804709,A00107
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD,DRY DEVILS RIVER TRIB,VGI,29.93544721,-100.8783302,UNKNOWN,12.1 MI W OF US 277,NV,NA,29.93544721,-100.8783302,A00108
465,UNVENTED FORD,COUNTY,0,RIVERINE,NA,NA,VAL VERDE,DOLAN CREEK RD S,OPEN HOLLOW,VGI,29.91699429,-100.7841351,UNKNOWN,0.6 MI W OF US 277,NV,NA,29.91699429,-100.7841351,A00109
