Year,Authors,Paper,Abstract
2003,"Chunyan Wang, Karen Dixon, David Jared",Evaluating Speed-Reduction Strategies for Highway Work Zones,"Research was conducted to identify the potential of fluorescent orange sheeting, innovative message signs, and changeable message signs with radar for reducing speeds in highway work zones. The study investigated the effect of each strategy immediately after implementation (immediate effect) as well as several weeks after implementation (novelty effect). In addition to the overall effect of each strategy on all vehicles, the study included the effect on specific vehicle types during various lighting conditions. The researchers collected traffic data before, immediately after, and 2 or 3 weeks after implementation of each strategy (3 consecutive weeks for the changeable message sign). They collected data upstream of the temporary traffic-control zone, in the advancewarning area, and adjacent to the active work area. The researchers used various statistical tests to evaluate the significance of speed changes from phase to phase and adjusted vehicle speeds with the upstream speed changes over time. The study indicated that fluorescent orange sheeting and innovative message signs help reduce speeds at highway work zones (with diminished influence over time). Moreover, both strategies influence vehicle speeds more during the day than at night. Drivers of passenger vehicles tended to decrease their speeds more than did truck drivers. Changeable message signs with radar significantly reduced the vehicle speeds in the immediate vicinity of the sign and did not demonstrate a novelty effect."
2005,"Jun Wang, Karen Dixon, Hainan Li, Jennifer Ogle",Normal Deceleration Behavior of Passenger Vehicles at Stop Sign-Controlled Intersections Evaluated with In-Vehicle Global Positioning System Data,"Deceleration characteristics of passenger cars are often used in traffic simulation, vehicle fuel consumption and emissions models, and intersection and deceleration-lane design. Most previous studies collected spot speed data with detectors or radar guns. Because of the limitations of the data collection methods, these studies could not determine when and where drivers began to decelerate. Therefore, the studies may not provide an accurate estimation of deceleration time and distance. Furthermore, most previous studies are based on outdated and limited data, and their conclusions may not be applicable to the current vehicle fleet and drivers. The normal deceleration behavior of current passenger vehicles is evaluated at stop sign-controlled intersections on urban streets on the basis of in-vehicle Global Positioning System data. This study determined that drivers with higher approach speeds decelerated over a longer time and distance. Higher initial deceleration rates were also associated with higher approach speeds. However, the collected data in this study did not indicate a clear relationship between the average and maximum deceleration rates and approach speeds. With second-by-second deceleration profile data, the authors found that most drivers reached their maximum deceleration rates about 5 s or less than 5 s before stopping, and the maximum deceleration rate (3.4 m/s2) recommended by AASHTO was applicable to most of the study drivers. This review verified several previous deceleration models with the current observations and found that the polynomial model developed by Akcelik and Biggs provides the best fit for the data set in this study. Finally, this study developed a new deceleration model based on the approach speeds and deceleration time."
2004,"Jun Wang, Karen Dixon, Hainan Li, Jennifer Ogle",Normal Acceleration Behavior of Passenger Vehicles Starting from Rest at All-Way Stop-Controlled Intersections,"Acceleration characteristics of passenger cars starting from rest are often used in traffic simulation, modeling of vehicle fuel consumption and emissions, and design of intersections, acceleration lanes for entrance terminals, turning bays, and passing lanes. Most of the previous studies developed four different acceleration models: the constant acceleration model, the two-phase model, the linear-decreasing acceleration model, and the polynomial acceleration model. However, most of the studies were based on outdated and limited data, so their conclusions may not be applicable for the current vehicle fleet and drivers. The normal acceleration behavior of current passenger vehicles starting from rest at all-way stop-controlled intersections is evaluated, and the previous acceleration models are verified with recent observations. A comparison is included between the acceleration behaviors of straight and turning maneuvers and the influence of speed limits on acceleration rates, and two new polynomial models are developed for driver acceleration behavior for turning maneuvers versus straight maneuver acceleration from a stopped condition."
2010,"Saroch Boonsiripant, Michael Hunter, Karen Dixon, Michael Rodgers",Measurement and Comparison of Acceleration and Deceleration Zones at Traffic Control Intersections,"Acceleration and deceleration characteristics are basic driving behaviors that influence signal control and road geometry. Most previous studies focused on acceleration and deceleration rates under ideal conditions, i.e., on characteristics of lead vehicles, which might not adequately reflect the full spectrum of traffic operations. This paper presents a methodology for determining acceleration and deceleration rates and zone lengths for vehicles approaching and leaving intersections under likely uncongested traffic conditions, regardless of queue position. These characteristics are derived from speed profiles gained from vehicles equipped with Global Positioning System (GPS) instrumentation. With the speed profiles obtained from GPS-equipped vehicles, a series of data-processing algorithms is developed to measure the acceleration and deceleration behavior of vehicles approaching and departing an intersection. Acceleration and deceleration rates and zone lengths are estimated for several road categories. These zone lengths are compared with recommended values from AASHTO's A Policy on Geometric Design of Highways and Streets (Green Book), in which it is seen that the zone lengths under light traffic conditions are longer than the Green Book's values. In addition, determined acceleration and deceleration rates and zone lengths are found to depend on the underlying assumptions and calculation methods of the analysis."
2011,"Fei Xie, Kristie Gladhill, Karen Dixon, Christopher Monsere",Calibration of Highway Safety Manual Predictive Models for Oregon State Highways,"The recently released Highway Safety Manual (HSM) published by AASHTO provides a comprehensive set of tools for evaluating and identifying opportunities to improve safety for highway facilities. Included in the HSM is a quantitative method for predicting crashes on the basis of recently developed scientific approaches. These predictive methods currently exist for three facility types: rural two-lane roads; rural multilane highways; and urban and suburban arterial highways. To enhance precision, each HSM predictive method should be calibrated for location conditions. This paper demonstrates the HSM calibration procedure for total crashes in Oregon. The research identified three critical data collection limitations on information about pedestrian volumes, minor road traffic volumes at rural locations, and minimum sample size for underrepresented crash locations. Most of the calibration factors for Oregon were determined to be considerably lower than the expected value of approximately 1, and this observation was attributed to Oregon crash reporting thresholds and procedures. The paper includes an evaluation of crash severity distribution methods and an assessment of the significance of collision type distributions on the overall predicted crashes."
2006,"Jun Wang, Karen Dixon, Hainan Li, Michael Hunter",Operating-Speed Model for Low-Speed Urban Tangent Streets Based on In-Vehicle Global Positioning System Data,"Low-speed urban streets are designed to provide both access and mobility and to accommodate multiple road users, such as bicyclists and pedestrians. However, speeds on these facilities often exceed the intended operating speeds, as well as their design speeds. Several studies have indicated that the design speed concept, as implemented in the roadway design process in the United States, does not guarantee a consistent alignment promoting uniform operating speeds less than design speeds. A promising design approach to overcome these apparent shortfalls of the design speed approach is a performance-based design procedure with the incorporation of operating speeds. However, this approach requires a clear understanding of the relationships between operating speeds and various road environments. Although numerous previous studies have developed operating-speed models, most of these studies have concentrated on high-speed, rural two-lane highways. In contrast, highway designers and planners have little information about the influence of low-speed urban street environments on drivers' speeds. This study investigated the relationship between drivers' speed choices and their associated low-speed urban roadway environments by analyzing second-by-second in-vehicle global positioning system (GPS) data from more than 200 randomly selected vehicles in the Atlanta, Georgia, area. The authors developed operating-speed models for low-speed urban street segments on the bases of roadway alignment, cross-section characteristics, roadside features, and adjacent land uses. The results of this research effort can help highway designers and planners better understand expected operating speeds when they design and evaluate low-speed urban roadways."
2004,"Randall Guensler, Karen Dixon, Vetri Elango, Seungju Yoon",MOBILE Matrix: Application of Georgia Statewide Multimodal Transportation Planning Tool for Rural Areas,"The U.S. Environmental Protection Agency's MOBILE emission rate model is used to evaluate carbon monoxide, hydrocarbon, nitrogen oxide, and particulate matter impacts of major transportation projects. Using fleet characteristics, environmental conditions, and on-road operating conditions, MOBILE estimates fleet average emission rates. Coupling projected traffic volumes and physical roadway characteristics yields pollutant mass flux rates with which dispersion models predict downwind pollutant concentrations. Distance-flux relationships may also prove useful in pollutant exposure modeling to help quantify relative environmental risks of living or working near major roadways. Applying the MOBILE model requires the creation and execution of scenario-specific input files, which must be properly structured. Researchers developed the MOBILE-matrix model to facilitate more readily the use of MOBILE emission rates in transportation modeling. The matrix creates large emission rate lookup tables that can be applied to traffic in any facility or subregion. It performs all necessary model runs well before a future modeling need. The goal of this specific application is to integrate MOBILE-matrix capabilities into the multimodal transportation planning tool (MTPT) employed by the Georgia Department of Transportation so that it can be used to estimate emissions from rural road facilities throughout the state. Thousands of MOBILE6.2 runs were executed to generate database output files, which were post-processed to create MOBILE-matrix lookup tables for 159 Georgia counties. For each transportation link in the MTPT, emission rates are extracted from the lookup matrix by facility type, average speed, temperature, and so forth. The predicted emissions can then be used for a variety of transportation planning purposes."
2010,"Hong Zhu, Karen Dixon, Simon Washington, David Jared",Predicting Single-Vehicle Fatal Crashes for Two-Lane Rural Highways in Southeastern United States,"The rural two-lane highway in the southeastern United States is frequently associated with a disproportionate number of serious and fatal crashes and as such remains a focus of considerable safety research. The Georgia Department of Transportation spearheaded a regional fatal crash analysis to identify various safety performances of two-lane rural highways and to offer guidance for identifying suitable countermeasures with which to mitigate fatal crashes. The fatal crash data used in this study were compiled from Alabama, Georgia, Mississippi, and South Carolina. The database, developed for an earlier study, included 557 randomly selected fatal crashes from 1997 or 1998 or both (this varied by state). Each participating state identified the candidate crashes and performed physical or video site visits to construct crash databases with enhance site-specific information. Motivated by the hypothesis that single- and multiple-vehicle crashes arise from fundamentally different circumstances, the research team applied binary logit models to predict the probability that a fatal crash is a single-vehicle run-off-road fatal crash given roadway design characteristics, roadside environment features, and traffic conditions proximal to the crash site. A wide variety of factors appears to influence or be associated with single-vehicle fatal crashes. In a model transferability assessment, the authors determined that lane width, horizontal curvature, and ambient lighting are the only three significant variables that are consistent for single-vehicle run-off-road crashes for all study locations."
2013,"Raul Avelar, Karen Dixon, Lacy Brown, Megan Mecham, Ida van Schalkwyk",Influence of Land Use and Driveway Placement on Safety Performance of Arterial Highways,"Characterizing driveway safety is a relevant and relatively complex topic in transportation safety research. This research studied the safety link of driveways abutting Oregon highways and considered various factors proposed in the current literature for design and evaluation of the safety performance of roadside elements. On the basis of two probability samples from rural and urban arterial state highways, this research developed alternative safety performance functions to evaluate the safety impacts of various driveway configurations. These safety performance functions were intended to explore driveway safety beyond the average driveway density treatment commonly encountered in the literature. The statistical models and methodologies in this research are comparable with those in the Highway Safety Manual. The proposed models exhibited different ranges of effects for urban and rural conditions, but type of land use proved a prominent factor for both the urban and the rural models. The analysis showed that roadside safety is influenced mainly by driveways associated with commercial and industrial land uses in the urban environment. Similarly, industrial driveways are more influential for safety than other types in rural environments. In addition, the rural model uncovered a safety connection to clusters of driveways rather than to driveways alone. This research indicated that after driveway land use in rural environments was accounted for, clustered driveways tended to have fewer crashes compared with isolated driveways."
2011,"Daniel Melcher, Karen Dixon, Simon Washington, Chi-Hung Wu","Feasibility of ""Subjective"" Engineering Assessments of Road Safety Improvements: Bayesian Analysis Development","Regional safety program managers face a daunting challenge in the attempt to reduce deaths, injuries, and economic losses that result from motor vehicle crashes. This difficult mission is complicated by the combination of a large perceived need, small budget, and uncertainty about how effective each proposed countermeasure would be if implemented. A manager can turn to the research record for insight, but the measured effect of a single countermeasure often varies widely from study to study and across jurisdictions. The challenge of converting widespread and conflicting research results into a regionally meaningful conclusion can be addressed by incorporating ""subjective"" information into a Bayesian analysis framework. Engineering evaluations of crashes provide the subjective input on countermeasure effectiveness in the proposed Bayesian analysis framework. Empirical Bayes approaches are widely used in before-and-after studies and ""hot-spot"" identification; however, in these cases, the prior information was typically obtained from the data (empirically), not subjective sources. The power and advantages of Bayesian methods for assessing countermeasure effectiveness are presented. Also, an engineering evaluation approach developed at the Georgia Institute of Technology is described. Results are presented from an experiment conducted to assess the repeatability and objectivity of subjective engineering evaluations. In particular, the focus is on the importance, methodology, and feasibility of the subjective engineering evaluation for assessing countermeasures."
1997,"Robert Awuah-Baffour, Wayne Sarasua, Karen Dixon, William Bachman, Randall Guensler",Global Positioning System with an Attitude: Method for Collecting Roadway Grade and Superelevation Data,"The use of a specialized Global Positioning System (GPS) to conduct high-speed surveys of roadway alignment, grade, and cross-slope characteristics is discussed. The system uses a single GPS receiver that has 24 channels monitoring four separate antennas (six channels each). The collection of attitude (heading, pitch, and roll) is made possible through the relative orientation of the antennas. By mounting the system on a road surveillance vehicle, accurate grades, superelevation, and crown measurements can be made without differentially correcting the GPS data. However, to gather precise positional data that correspond to the roadway measurements, differential correction with a GPS base station at a fixed known point is required. The design and use of this attitude GPS unit are addressed. Accuracy specifications for static testing are provided along with techniques to maximize this accuracy. Kinematic data collection is depicted for a local road and a freeway off-ramp. The use of digital terrain modeling technology provides a promising graphic database representation of the roadway characteristics."
